Product,Type,Release Date,Transistors (million)
Intel Pentium 4 2.4,CPU,2002-05-06,55
AMD EPYC 7551P,CPU,2017-06-29,4800
AMD Athlon XP-M 2000+,CPU,2001-01-01,63
Intel Core i3-2102,CPU,2011-06-01,504
AMD Ryzen 7 4700GE,CPU,2020-07-21,
AMD A6-3400M,CPU,2011-06-14,1178
AMD EPYC 7451,CPU,2017-06-29,4800
Intel Atom Z510PT,CPU,2009-03-02,47
AMD Ryzen 7 PRO 3700U,CPU,2019-04-08,4940
AMD Athlon 64 X2 5200+,CPU,2006-09-06,154
AMD Athlon 64 X2 4200+,CPU,2006-05-23,154
Intel Pentium 4 HT 641,CPU,2006-01-05,188
Intel Core M-5Y10a,CPU,2014-09-05,
AMD Athlon II X2 260,CPU,2010-05-11,410
Intel Pentium 4 HT 524,CPU,2001-01-01,125
AMD Opteron 840,CPU,2004-05-18,106
AMD Athlon 64 X2 4600+,CPU,2008-04-22,154
Intel Pentium 4-M 1.60,CPU,2002-03-04,55
Intel Pentium M 780,CPU,2005-07-25,140
AMD A8-3850,CPU,2011-06-30,1178
Intel Celeron G540T,CPU,2011-09-04,504
AMD Opteron 240 EE,CPU,2004-02-14,106
AMD Opteron 3380,CPU,2012-12-04,1200
Intel Core i7-640M,CPU,2010-09-01,384
Intel Xeon E5-2403 v2,CPU,2013-09-01,1400
Intel Pentium G640,CPU,2012-06-03,504
Intel Core 2 Duo U7500,CPU,2007-04-27,293
Intel Xeon E3-1230,CPU,2011-04-03,1160
Intel Pentium Dual-Core E2160,CPU,2007-06-03,105
Intel Pentium 997,CPU,2012-09-01,504
