Product,Type,Release Date,Transistors (million)
NVIDIA Tesla K40m,GPU,2013-11-22,7080
NVIDIA GeForce RTX 2070 SUPER Max-Q,GPU,2020-04-02,13600
NVIDIA GeForce 510 OEM,GPU,2011-09-29,292
NVIDIA Quadro 5000 SDI,GPU,2011-02-23,3100
AMD Radeon HD 7660G IGP,GPU,2012-05-15,1303
NVIDIA GeForce G105M,GPU,2009-07-16,260
NVIDIA Tesla P100 PCIe 16 GB,GPU,2016-06-20,15300
ATI Radeon HD 4730 OEM,GPU,2008-12-26,666
ATI FirePro V5800,GPU,2010-04-26,1040
NVIDIA GeForce GT 745M,GPU,2013-04-01,1270
AMD FirePro 2270,GPU,2011-01-31,292
3dfx Voodoo5 5000 PCI,GPU,NaT,14
AMD Radeon R5 M230 Rebrand,GPU,2013-03-01,690
NVIDIA GeForce FX 5100,GPU,2003-03-06,45
Intel i830M Graphics,GPU,2001-01-01,
NVIDIA Quadro P2000 Mobile,GPU,2019-02-15,4400
NVIDIA GeForce Go 6100 + nForce Go 430,GPU,2006-02-01,
Intel GMA,GPU,2010-05-04,
NVIDIA Quadro FX 4800 Mac Edition,GPU,2008-11-11,1400
NVIDIA GeForce GTX 570,GPU,2010-12-07,3000
NVIDIA GeForce 845M,GPU,2015-02-07,1870
NVIDIA GeForce GTX 295,GPU,2009-01-08,1400
AMD Radeon HD 6450A,GPU,2011-04-07,370
NVIDIA GeForce GT 320M,GPU,2009-06-15,314
NVIDIA GeForce 7950 GX2,GPU,2006-06-05,278
NVIDIA GeForce GTX 460 X2,GPU,2011-03-11,1950
ATI Mobility Radeon HD 4830,GPU,2009-03-03,826
AMD Radeon Vega 6 Mobile,GPU,2018-01-08,4940
NVIDIA GeForce 8600M GS,GPU,2007-05-01,210
ATI Wii GPU,GPU,2006-11-19,107
AMD Radeon HD 7670M Rebrand,GPU,2012-07-01,716
AMD Radeon HD 6970M Mac Edition,GPU,2011-08-25,1700
ATI Mobility Radeon X200 IGP,GPU,2005-01-01,107
ATI Radeon HD 2600 XT AGP,GPU,2007-06-28,378
ATI Mobility Radeon HD 3670,GPU,2008-01-07,378
NVIDIA GeForce GT 520,GPU,2011-04-13,292
AMD FirePro M6100,GPU,2013-10-16,2080
AMD Radeon R9 M380 Mac Edition,GPU,2015-05-05,2080
AMD Radeon Pro WX 8200,GPU,2018-08-13,12500
NVIDIA Quadro FX 1800,GPU,2009-03-30,505
ATI Radeon X1650,GPU,2007-02-01,157
NVIDIA GeForce FX Go5650,GPU,2003-03-01,80
ATI Radeon HD 2600 PRO AGP,GPU,2007-06-28,390
AMD Radeon HD 8280 Mobile IGP,GPU,2013-09-18,1178
AMD Radeon Pro 555,GPU,2017-06-05,3000
ATI Radeon Xpress 1150 IGP,GPU,2007-10-17,
ATI Radeon HD 5630,GPU,2011-02-15,627
ATI Radeon X1550,GPU,2007-01-01,107
AMD Radeon HD 6290,GPU,2011-12-04,292
AMD Radeon E9260 MXM,GPU,2016-09-27,3000
AMD Radeon R5 M230,GPU,2014-01-07,690
AMD Radeon HD 8550M,GPU,2014-07-13,690
NVIDIA GeForce GTX 690,GPU,2012-05-03,3540
Intel HD Graphics 615,GPU,2016-08-30,
AMD Radeon HD 6450M,GPU,2011-01-04,370
NVIDIA GeForce FX Go5250,GPU,2003-03-01,45
NVIDIA GeForce GT 710 OEM,GPU,2015-04-09,1020
ATI Radeon HD 4580,GPU,2011-11-20,378
AMD Zhongshan Subor Z+ GPU,GPU,2018-08-03,
AMD Radeon E9560 PCIe,GPU,2019-10-15,5700
AMD Radeon Pro Vega 64X,GPU,2019-03-19,12500
Intel HD Graphics 515,GPU,2015-09-01,
NVIDIA GeForce4 Go 4200,GPU,2002-11-14,36
AMD Radeon Vega 10 Mobile,GPU,2019-04-08,4940
AMD FirePro W5130M,GPU,2015-10-02,1500
AMD Radeon RX 580 Mobile,GPU,2017-04-18,5700
NVIDIA Quadro Plex 7000,GPU,2011-07-25,3000
ATI Mobility FireGL T2e,GPU,2004-08-01,76
NVIDIA Quadro FX 580,GPU,2009-04-09,314
AMD Radeon HD 6510,GPU,2011-05-14,716
AMD Radeon R7 M350,GPU,2015-05-05,1550
NVIDIA GeForce Go 6150 + nForce Go 430,GPU,2006-02-01,
ATI Radeon HD 4350 PCI,GPU,2008-09-30,242
AMD Radeon HD 6970M Rebrand,GPU,2011-01-04,1040
NVIDIA Quadro4 400 NVS PCI,GPU,2004-07-16,29
NVIDIA Quadro P520 Mobile,GPU,2019-05-23,1800
Intel UHD Graphics G1,GPU,2019-05-29,
NVIDIA Quadro K2000D,GPU,2013-03-01,1270
NVIDIA GeForce GTS 260M,GPU,2009-06-15,727
AMD Radeon Instinct MI100,GPU,2020-11-16,50000
ATI FireGL V5200,GPU,2005-10-01,157
NVIDIA GeForce 9800M GTS,GPU,2008-07-29,505
NVIDIA GeForce GTX 780 Ti,GPU,2013-11-07,7080
ATI Radeon X1950 GT,GPU,2007-01-29,330
NVIDIA Tesla V100 DGXS 32 GB,GPU,2018-03-27,21100
AMD Radeon R9 M390X,GPU,2015-05-05,5000
NVIDIA GeForce 810A,GPU,2014-07-22,1020
AMD Radeon Vega 3 Embedded,GPU,2018-07-16,4940
NVIDIA GeForce GTX TITAN,GPU,2013-02-19,7080
ATI Radeon 3000 IGP,GPU,2009-01-01,180
ATI Radeon X1950 GT AGP,GPU,2007-02-10,330
NVIDIA Quadro FX 370M,GPU,2008-08-15,210
ATI Radeon X800 XL,GPU,2004-12-01,160
NVIDIA Quadro FX 5500,GPU,2006-04-20,278
NVIDIA Tesla K20s,GPU,2013-02-18,7080
AMD Radeon RX 590 GME,GPU,2020-03-09,5700
AMD Radeon HD 8400 Mobile IGP,GPU,2013-11-23,1178
AMD Radeon R9 M395 Mac Edition,GPU,2015-05-05,5000
AMD Radeon R9 M365X,GPU,2015-05-05,1500
NVIDIA ION,GPU,2008-06-03,282
NVIDIA GeForce GT 755M Mac Edition,GPU,2013-11-08,1270
AMD Radeon Vega 3  Embedded,GPU,2019-01-01,4940
NVIDIA Quadro T1000 Mobile,GPU,NaT,4700
AMD Radeon HD 6620G IGP,GPU,2011-12-07,1178
NVIDIA GeForce GT 545 OEM,GPU,2011-05-14,1170
Intel HD Graphics 610,GPU,2016-08-30,
ATI Radeon X550 XT,GPU,2007-01-24,120
NVIDIA TITAN RTX,GPU,2018-12-18,18600
ATI FireMV 2200 PCI,GPU,2006-01-01,36
3dfx Voodoo4 4800 AGP,GPU,NaT,14
NVIDIA GeForce Go 6600 TE,GPU,2005-09-29,146
NVIDIA GeForce 9800M GTS,GPU,2008-08-21,505
NVIDIA GeForce 930MX,GPU,2016-03-01,
ATI Mobility FireGL V5200,GPU,2006-02-01,157
NVIDIA GeForce 210 OEM,GPU,2009-09-04,486
ATI FireGL V3600,GPU,2007-06-28,390
NVIDIA Quadro P500 Mobile,GPU,2018-01-05,1800
AMD FireStream 9370,GPU,2010-06-23,2154
NVIDIA GeForce 405 OEM,GPU,2010-09-03,486
NVIDIA GeForce GTX 760 X2,GPU,2013-11-19,3540
NVIDIA GeForce GTX 1650,GPU,2019-04-23,4700
AMD Radeon RX 6900 XT,GPU,2020-10-28,26800
NVIDIA GeForce4 MX + nForce2,GPU,2002-10-01,29
NVIDIA CMP 40HX,GPU,2021-02-25,10800
NVIDIA Quadro 2000M,GPU,2011-01-13,1170
Intel HD Graphics,GPU,2012-10-01,392
AMD Radeon R2 Mobile Graphics,GPU,2015-01-28,930
NVIDIA GeForce 6150,GPU,2004-10-11,
NVIDIA Quadro NVS 510M,GPU,2006-08-21,278
ATI Mobility FireGL V5250,GPU,2007-01-01,157
NVIDIA GeForce GTX 880M,GPU,2014-03-12,3540
ATI Mobility Radeon HD 545v,GPU,2010-05-05,242
NVIDIA GeForce GTX 1050 Ti Mobile,GPU,2017-01-03,3300
AMD Radeon Instinct MI60,GPU,2018-11-18,13230
NVIDIA GeForce4 MX 440-8x,GPU,2002-09-25,29
AMD Stream Processor,GPU,2006-01-01,384
AMD FirePro S10000 Passive,GPU,2012-11-12,4313
NVIDIA Tesla X2070,GPU,2011-07-25,3000
AMD Radeon RX Vega 56,GPU,2017-08-14,12500
NVIDIA GeForce GT 520 PCI,GPU,2011-04-13,292
NVIDIA NVS 5200M,GPU,2012-06-01,585
NVIDIA NVS 5400M,GPU,2012-06-01,585
NVIDIA Quadro FX 540,GPU,2004-08-09,146
ATI Radeon X1300 PCI,GPU,2005-10-05,107
AMD Radeon HD 8490 OEM,GPU,2013-07-23,370
NVIDIA GeForce GTX 1660 SUPER,GPU,2019-10-29,6600
ATI Radeon E2400,GPU,2007-06-28,180
ATI Radeon X1800 XT,GPU,2005-10-01,321
AMD Radeon R7 M260DX,GPU,2014-01-07,690
Intel UHD Graphics 730,GPU,2021-01-01,
ATI Radeon DDR VIVO,GPU,2001-08-14,30
AMD Radeon HD 7650M,GPU,2012-01-07,716
ATI Mobility Radeon 7500,GPU,2001-12-01,60
XGI Volari Duo V5 Ultra,GPU,2003-09-15,90
NVIDIA A10G,GPU,2021-04-12,28300
ATI Radeon HD 4350 PCIe x1,GPU,2008-09-30,242
Intel Iris Xe Graphics G7 96EU,GPU,2020-09-02,
NVIDIA GeForce GTX 1050,GPU,2016-10-25,3300
AMD Radeon HD 6510,GPU,2011-05-14,627
ATI Mobility Radeon HD 3410,GPU,2008-07-25,181
Matrox QID,GPU,2004-12-17,
AMD Radeon RX Vega Nano,GPU,NaT,12500
AMD Radeon R9 M395X,GPU,2015-05-05,5000
NVIDIA GeForce 320M,GPU,2010-04-01,486
ATI Mobility Radeon X800 XT,GPU,2005-06-01,160
NVIDIA Switch GPU 20nm,GPU,2017-03-17,2000
AMD Radeon Pro 5600M,GPU,2020-06-15,
Intel UHD Graphics 615,GPU,2018-11-07,
NVIDIA GeForce GT 230 OEM,GPU,2009-04-27,754
NVIDIA Tesla P6,GPU,2017-03-24,7200
AMD Radeon HD 8850M,GPU,2013-04-01,1500
NVIDIA GeForce 705M,GPU,NaT,292
NVIDIA GeForce GTX 1080 Ti,GPU,2017-03-10,11800
NVIDIA GeForce GT 330 OEM,GPU,2010-02-02,754
AMD FirePro W4170M,GPU,2015-04-23,950
AMD Xbox One S GPU,GPU,2016-08-02,5000
AMD Radeon RX 580X Mobile,GPU,2018-04-11,5700
NVIDIA GRID K520Q,GPU,2014-07-02,3540
AMD Radeon HD 8530M,GPU,2014-01-10,950
NVIDIA GeForce 8200M G mGPU Intel,GPU,2008-06-03,314
ATI Radeon X800 XT Platinum,GPU,2004-03-01,160
NVIDIA GeForce GT 430,GPU,2010-10-11,585
AMD Radeon R7 M270,GPU,2014-01-09,950
AMD Radeon Vega 6 Embedded,GPU,2018-05-10,4940
NVIDIA GeForce Go 7700,GPU,2006-08-01,177
NVIDIA Tesla C2075,GPU,2011-07-25,3000
AMD Radeon RX 560X Mobile,GPU,2018-04-11,3000
ATI Radeon X1050,GPU,2008-01-25,120
AMD FirePro S9150,GPU,2014-08-07,6200
NVIDIA A100 PCIe,GPU,2020-06-22,54200
AMD Radeon R9 FURY,GPU,2015-07-10,8900
NVIDIA Quadro P3200 Max-Q,GPU,2018-02-21,7200
ATI Mobility Radeon HD 5570,GPU,2012-11-23,627
Matrox Millenium P750,GPU,2002-01-02,80
AMD Radeon RX 560,GPU,2017-04-18,3000
AMD Radeon R6 Mobile Graphics,GPU,2014-09-17,2410
NVIDIA GeForce GTX 675MX,GPU,2012-10-01,3540
NVIDIA GeForce 6100,GPU,2004-10-11,
NVIDIA GeForce 945M,GPU,2015-10-27,1870
ATI FireGL V8600,GPU,2007-05-14,720
ATI Radeon HD 4670 X2,GPU,2008-09-10,514
AMD Radeon RX 560X Mobile,GPU,2019-01-09,3000
ATI Radeon X800 GTO2,GPU,2005-09-15,160
NVIDIA GeForce GT 420 OEM,GPU,2010-09-03,585
AMD Radeon Vega 8 Mobile,GPU,2017-10-26,4940
AMD Radeon HD 8470D IGP,GPU,2013-07-29,1303
NVIDIA GeForce4 MX 440,GPU,2002-02-06,29
ATI Mobility Radeon 9000 IGP,GPU,2003-05-01,76
NVIDIA Tesla K40t,GPU,2013-11-22,7080
NVIDIA GeForce RTX 2070 Mobile Refresh,GPU,2020-03-04,10800
Intel HD Graphics 4400,GPU,2013-09-03,
NVIDIA Quadro P620,GPU,2018-02-01,3300
AMD Radeon RX 560X Mobile,GPU,2018-04-11,3000
NVIDIA GeForce2 PRO,GPU,2000-12-05,25
AMD Radeon HD 6350M,GPU,2010-11-26,292
AMD Radeon RX 5700,GPU,2019-07-07,10300
NVIDIA GRID M60-1Q,GPU,2015-08-30,5200
ATI Mobility Radeon HD 4350,GPU,2009-01-09,242
AMD Radeon HD 6330M,GPU,2010-11-26,292
NVIDIA GeForce 7600 GT Mac Edition,GPU,2006-09-02,177
NVIDIA GeForce GT 650M Mac Edition,GPU,2012-07-12,1270
ATI FireGL 9600 T2-128,GPU,2003-10-01,60
NVIDIA GeForce FX Go5200 32M,GPU,2003-03-01,45
AMD Radeon HD 8330 Mobile IGP,GPU,2013-08-13,1178
NVIDIA GeForce 8800 GS,GPU,2008-01-31,754
NVIDIA GeForce 6200 AGP,GPU,2005-04-04,75
AMD Radeon R7 M365X,GPU,2015-05-05,690
ATI Radeon HD 2900 GT,GPU,2007-11-06,720
NVIDIA GeForce GTX 560M,GPU,2011-05-30,1170
AMD Radeon Pro 570X,GPU,2019-03-18,5700
NVIDIA Quadro FX 2800M,GPU,2009-12-01,754
NVIDIA GeForce GTX 770M,GPU,2013-05-30,2540
ATI Radeon X600 XT,GPU,2004-09-01,75
AMD Radeon Pro V320,GPU,2017-06-29,12500
ATI All-In-Wonder X600 PRO,GPU,2005-07-01,107
ATI Radeon X800 PRO AGP,GPU,2004-05-01,160
ATI Mobility Radeon X1450,GPU,2006-09-18,107
NVIDIA Quadro FX 3000G,GPU,2003-07-22,135
NVIDIA Quadro FX 1700M,GPU,2008-10-01,314
ATI Radeon HD 5570 OEM,GPU,2010-02-09,627
ATI Mobility Radeon HD 4225 IGP,GPU,2010-05-01,181
NVIDIA GeForce GTX 1660 Ti Max-Q,GPU,2019-04-23,6600
AMD Radeon HD 8510 OEM,GPU,2013-07-23,716
NVIDIA Quadro FX 1300,GPU,2004-08-09,135
ATI Radeon HD 4200 IGP,GPU,2009-08-01,181
NVIDIA GeForce Go 6800 Ultra,GPU,2005-02-24,222
NVIDIA GeForce GT 610 PCIe x1,GPU,2012-04-02,292
NVIDIA GeForce GT 330 OEM,GPU,2010-02-02,727
NVIDIA GRID K120Q,GPU,2014-07-02,1270
AMD Radeon R7 A360,GPU,2015-01-01,1550
NVIDIA Quadro K5000 SYNC,GPU,2013-01-25,3540
NVIDIA P106-100,GPU,2017-06-19,4400
ATI Radeon HD 3850 X2,GPU,2008-04-04,666
ATI Mobility FireGL V5700,GPU,2008-01-07,378
ATI Radeon HD 2950 PRO,GPU,NaT,666
AMD FirePro A320,GPU,2012-06-06,1303
ATI FirePro M5725,GPU,2009-01-09,514
ATI Radeon HD 5690,GPU,2011-02-01,627
ATI Radeon HD 3830,GPU,2008-04-01,666
AMD Radeon HD 7490M,GPU,2012-01-07,370
NVIDIA GeForce PCX 5900,GPU,2003-03-17,135
NVIDIA GeForce 6600 GT,GPU,2004-08-12,146
AMD Radeon HD 8670M,GPU,2013-03-01,950
NVIDIA Quadro K6000 SDI,GPU,2013-07-23,7080
AMD Radeon HD 7590M,GPU,2012-01-07,716
NVIDIA GeForce 8200,GPU,2007-04-17,210
ATI Radeon X1900 G5 Mac Edition,GPU,2006-11-06,384
NVIDIA GeForce GT 220 OEM,GPU,2009-10-12,727
AMD Radeon RX Vega 11 Mobile,GPU,2019-10-22,4940
NVIDIA GeForce 8300 GS,GPU,2007-04-17,210
NVIDIA Tesla V100 SXM3 32 GB,GPU,2018-03-27,21100
NVIDIA GeForce 9800M GS,GPU,2008-11-01,505
Intel Iris Plus Graphics 655,GPU,2018-04-03,
AMD Radeon HD 6770M,GPU,2011-01-04,716
AMD Radeon HD 6830M,GPU,2011-01-04,1040
AMD Radeon HD 6530M,GPU,2010-11-26,627
Intel Iris Plus Graphics G7,GPU,2020-05-04,
ATI Radeon HD 4750,GPU,2009-09-09,826
NVIDIA GeForce GT 415 OEM,GPU,2010-09-03,486
NVIDIA GeForce MX130,GPU,2017-11-17,
NVIDIA GeForce FX 5200,GPU,2003-03-06,45
NVIDIA GeForce GT 430 OEM,GPU,2010-10-11,585
NVIDIA GeForce GTX 460,GPU,2010-07-12,1950
ATI Radeon HD 3450 X2,GPU,2007-12-10,181
AMD Radeon RX Vega M GL,GPU,2018-02-01,5000
Intel HD Graphics 5500,GPU,2014-09-05,
NVIDIA Quadro K2200M,GPU,2014-07-19,1870
AMD Radeon HD 7420G IGP,GPU,2012-06-06,1303
ATI Radeon HD 5570,GPU,2010-02-09,627
AMD Radeon HD 6450,GPU,2011-04-07,370
ATI Radeon Xpress 1200 IGP,GPU,2007-02-28,120
NVIDIA GeForce GT 755M,GPU,2013-06-25,1270
NVIDIA Tesla P100 DGXS,GPU,2016-04-05,15300
AMD Radeon RX 6800M,GPU,2021-01-01,17200
NVIDIA Quadro 400,GPU,2011-04-05,486
NVIDIA GeForce4 410 Go,GPU,2002-02-06,29
Intel Iris Pro Graphics 6200,GPU,2014-09-05,
AMD Radeon Pro Vega 64,GPU,2017-06-27,12500
AMD Radeon R9 A375,GPU,2015-01-01,1500
ATI Radeon X800 GTO,GPU,2005-11-01,160
ATI Radeon X800 CrossFire Edition,GPU,2005-10-28,160
AMD Radeon 535 Mobile,GPU,2017-04-18,1550
NVIDIA GeForce 9300M G,GPU,2008-02-01,210
AMD Radeon HD 7790,GPU,2013-03-22,2080
NVIDIA GeForce 6800 LE,GPU,2004-07-21,222
AMD Radeon RX 560 Mobile,GPU,2017-01-05,3000
NVIDIA Quadro NVS 140M,GPU,2007-05-09,210
NVIDIA GeForce GTX 260,GPU,2008-06-16,1400
ATI Mobility Radeon HD 3470,GPU,2008-01-07,181
NVIDIA GeForce GT 240,GPU,2009-11-17,727
NVIDIA GeForce GT 610,GPU,2012-04-02,292
ATI Mobility Radeon HD 5145,GPU,2010-01-07,242
NVIDIA Quadro FX 1700 Mac Edition,GPU,2008-09-27,289
ATI Mobility Radeon-P,GPU,2001-12-01,30
AMD Radeon 550X,GPU,2019-03-27,2200
NVIDIA Quadro K4000M,GPU,2012-06-01,3540
NVIDIA Tesla M2050,GPU,2011-07-25,3100
AMD Radeon R9 M280X,GPU,2015-02-05,2080
NVIDIA GeForce PCX 5300,GPU,2004-02-17,45
ATI Radeon VE PCI,GPU,2001-02-19,30
NVIDIA GeForce GTX 1080 Ti 10 GB,GPU,NaT,11800
NVIDIA GeForce RTX 3060,GPU,2021-01-12,13250
NVIDIA Tesla M10,GPU,2016-05-18,1870
NVIDIA GeForce 7025 + nForce 630a,GPU,2006-02-01,112
NVIDIA GeForce GTX 760A,GPU,2014-03-17,2540
NVIDIA GeForce RTX 2060 Mobile,GPU,2019-01-29,10800
AMD FirePro W5000 DVI,GPU,2013-02-25,2800
Intel Iris Plus Graphics 645,GPU,2019-10-07,
3dfx Spectre 3000,GPU,NaT,30
NVIDIA Quadro RTX 6000,GPU,2018-08-13,18600
NVIDIA GeForce RTX 2070 SUPER,GPU,2019-07-09,13600
ATI Radeon HD 2900 XT,GPU,2007-05-14,720
Intel Xe DG1-SDV,GPU,NaT,
NVIDIA GeForce 9600 GT Mac Edition,GPU,2008-12-22,505
ATI Radeon X800,GPU,2004-12-01,160
ATI FirePro V7770,GPU,2012-01-01,956
AMD Radeon R5 M420,GPU,2016-05-15,690
NVIDIA Quadro K500M,GPU,2012-06-01,1270
AMD Radeon R7 350,GPU,2016-07-06,1500
NVIDIA GeForce2 GTS PRO,GPU,2000-04-26,25
ATI Mobility Radeon HD 4250 IGP,GPU,2010-05-01,181
AMD Radeon HD 7770M,GPU,2012-04-24,1500
NVIDIA Tesla S870,GPU,2007-05-02,681
NVIDIA GeForce G103M,GPU,2009-09-01,210
AMD Radeon HD 6290 IGP,GPU,2011-01-07,450
NVIDIA GeForce 9500 GT Rev. 2,GPU,2008-07-29,314
NVIDIA GeForce 705A,GPU,2014-07-01,292
NVIDIA ION,GPU,2008-06-03,282
Intel GMA 600,GPU,2010-05-04,140
ATI Radeon HD 3650,GPU,2008-01-20,378
ATI Radeon X800 GTO AGP,GPU,2005-10-01,160
AMD Radeon RX 550X 640SP,GPU,2018-04-11,3000
NVIDIA GeForce 6150 SE + nForce 430,GPU,2004-10-11,
AMD Radeon RX 480,GPU,2016-06-29,5700
ATI Radeon X1650 XT Dual,GPU,2006-10-30,330
ATI FireMV 2260 PCIe x1,GPU,2008-01-01,181
NVIDIA Quadro FX 3400,GPU,2004-06-28,222
NVIDIA GeForce4 Ti 4200,GPU,2002-02-06,63
NVIDIA Quadro NVS 150M,GPU,2008-08-15,210
ATI Mobility Radeon,GPU,2001-12-01,30
NVIDIA GeForce 8400 SE,GPU,2008-08-01,210
ATI FirePro 2260 PCI,GPU,2008-01-01,181
AMD FirePro W7000,GPU,2012-06-13,2800
NVIDIA GeForce 6800 GT,GPU,2004-04-14,222
NVIDIA GeForce 6200 LE PCI,GPU,2004-10-11,146
AMD Radeon Graphics 448SP,GPU,2021-01-12,9800
NVIDIA GeForce 9600 GSO 512,GPU,2008-10-23,505
AMD Radeon Vega 3 Embedded,GPU,2019-01-01,4940
Intel Iris Xe MAX Graphics,GPU,2020-10-31,
NVIDIA Quadro 500M,GPU,2011-02-22,585
NVIDIA GeForce2 MX + nForce 420,GPU,2001-06-04,20
NVIDIA GeForce GTX 1650 Ti Mobile,GPU,2020-04-02,4700
ATI Radeon 9800 XT,GPU,2003-10-01,117
ATI All-In-Wonder 2006 AGP Edition,GPU,2005-04-29,60
NVIDIA Quadro FX 4800,GPU,2008-11-11,1400
XGI Volari V5,GPU,2003-09-15,90
AMD FirePro D500,GPU,2014-01-18,4313
AMD Radeon HD 6770,GPU,2011-01-21,1040
Intel HD Graphics P4600,GPU,2013-06-01,
NVIDIA GeForce 8100 + nForce 720a,GPU,2007-04-17,210
NVIDIA Tesla K20c,GPU,2012-11-12,7080
NVIDIA GeForce GT 730M,GPU,2013-01-20,1270
Intel GMA 3000,GPU,2006-06-01,
NVIDIA GeForce 7900 GS,GPU,2006-05-01,278
NVIDIA GeForce GT 140 OEM,GPU,2009-03-10,505
AMD Radeon R9 M370X Mac Edition,GPU,2015-05-05,1500
ATI Radeon HD 5550,GPU,2010-02-09,627
ATI Radeon HD 4520,GPU,2009-12-02,242
ATI Mobility Radeon 9500,GPU,2004-06-01,76
ATI Radeon HD 4860,GPU,2009-09-09,959
NVIDIA Quadro K4100M,GPU,2013-07-23,3540
NVIDIA GeForce GT 750M Mac Edition,GPU,2013-11-08,1270
NVIDIA GeForce 800A,GPU,2014-03-17,292
ATI Radeon 9800 XT Mac Edition,GPU,2004-03-14,117
NVIDIA GeForce GTX 280M,GPU,2009-03-03,754
NVIDIA Quadro FX 3600M,GPU,2008-02-23,754
NVIDIA Quadro RTX 8000,GPU,2018-08-13,18600
AMD Radeon R9 390,GPU,2015-06-18,6200
NVIDIA GeForce 9600M GS,GPU,2008-06-03,314
ATI Radeon X1600,GPU,2007-01-01,107
ATI Radeon HD 2600 XT,GPU,2007-06-28,390
ATI Radeon HD 3870 X2,GPU,2008-01-26,666
AMD Radeon Pro WX 4130 Mobile,GPU,2017-03-01,3000
NVIDIA GeForce GT 645M,GPU,2012-10-01,1270
NVIDIA GeForce GTX 850A,GPU,2014-03-17,1870
NVIDIA GeForce4 Ti 4800 SE,GPU,2003-02-16,36
AMD Radeon RX 550 Mobile,GPU,2017-07-02,2200
NVIDIA Quadro FX 380M,GPU,2010-01-07,260
NVIDIA Quadro FX 4500,GPU,2005-07-28,302
AMD Radeon HD 7850M,GPU,2012-04-24,1500
AMD Radeon R7 M265,GPU,2014-05-20,1550
ATI Radeon 3100 IGP,GPU,2008-03-04,180
ATI Mobility Radeon HD 4850 X2,GPU,2009-01-09,956
NVIDIA GeForce FX 5500 PCI,GPU,2004-03-17,45
AMD Radeon HD 8550D IGP,GPU,2013-05-23,1303
ATI Radeon X700 PRO AGP,GPU,2004-09-01,120
Matrox Parhelia Precision SGT,GPU,2001-01-01,80
Intel GMA X3000,GPU,2006-06-01,
AMD Radeon HD 8830M,GPU,2013-04-01,1500
NVIDIA GeForce 9400 GT,GPU,2008-08-27,314
ATI All-In-Wonder X800 XL,GPU,2005-01-21,160
AMD Radeon HD 7670M,GPU,2012-02-17,716
NVIDIA GeForce 8800 GTS Core 112,GPU,2007-11-19,681
NVIDIA Quadro RTX 8000 Passive,GPU,2018-08-13,18600
NVIDIA Tesla C1060,GPU,2009-04-09,1400
NVIDIA Quadro 4000 Mac Edition,GPU,2011-06-12,3100
ATI Radeon X1800 GTO2,GPU,2006-03-01,321
AMD Radeon Vega 8,GPU,2019-07-07,4940
AMD Atari VCS 400 GPU,GPU,2020-12-14,4940
NVIDIA GeForce RTX 2080,GPU,2018-09-20,13600
Matrox Parhelia 128 MB,GPU,2004-03-30,80
AMD Radeon R9 FURY X,GPU,2015-06-24,8900
AMD Radeon R5 310 OEM,GPU,2015-05-05,370
NVIDIA GeForce 6100 + nForce 405,GPU,2004-10-11,
Intel HD Graphics 4600,GPU,2013-06-03,
ATI Mobility Radeon X300,GPU,2005-11-01,107
NVIDIA GeForce 6200 LE AGP,GPU,2005-04-04,75
NVIDIA GeForce 7800 GTX 512,GPU,2005-11-14,302
NVIDIA GeForce GTX 1050 Mobile 3 GB,GPU,2019-02-01,3300
ATI Radeon X1550,GPU,2007-01-01,107
ATI FireGL V3400,GPU,2005-10-01,157
AMD Radeon R9 360 OEM,GPU,2015-05-05,2080
AMD Radeon Pro WX 3200 Mobile,GPU,2019-07-02,2200
NVIDIA GeForce GT 650M,GPU,2012-03-22,1270
NVIDIA GRID K220Q,GPU,2014-07-02,3540
NVIDIA GRID K240Q,GPU,2013-06-28,3540
NVIDIA GeForce GTX 1650 Max-Q,GPU,2019-04-23,4700
NVIDIA GeForce GTX 1070,GPU,2016-06-10,7200
NVIDIA GeForce 930A,GPU,2015-03-13,
AMD Radeon Vega 3 Embedded,GPU,2018-09-06,4940
ATI Mobility Radeon HD 5870,GPU,2010-01-07,1040
AMD Radeon Pro 575X,GPU,2019-03-18,5700
AMD Radeon Pro WX 3200,GPU,2019-07-02,2200
AMD Xbox Series S GPU,GPU,2020-11-10,8000
AMD Radeon RX 540 Mobile,GPU,2017-11-11,2200
AMD Radeon HD 8450G IGP,GPU,2013-05-23,1303
AMD Radeon Pro W5500,GPU,2020-02-10,6400
NVIDIA GeForce GT 705 OEM,GPU,2014-03-27,292
ATI FirePro V8800,GPU,2010-04-07,2154
AMD Radeon HD 7850,GPU,2012-03-05,2800
Intel HD Graphics 610,GPU,2016-08-30,
AMD Radeon HD 7950 Monica BIOS 2,GPU,2012-01-31,4313
ATI Radeon IGP 320M,GPU,2002-10-05,30
Matrox Millennium G550,GPU,2001-11-26,10
AMD FirePro M4000,GPU,2012-06-27,1500
3dfx Voodoo4 4500 AGP,GPU,2000-10-13,14
AMD Radeon R9 M375X,GPU,2015-05-05,1500
AMD FirePro W5100,GPU,2014-03-31,2080
ATI Radeon 9800 SE,GPU,2003-03-01,117
NVIDIA GRID M10-8Q,GPU,2016-05-18,1870
NVIDIA GeForce Go 6800,GPU,2004-11-08,222
ATI FireGL 8700,GPU,2001-08-14,60
NVIDIA ION 2,GPU,2008-06-03,260
AMD Radeon Vega 8 Mobile,GPU,2019-01-06,4940
AMD Radeon R7 250,GPU,2013-10-08,1500
NVIDIA GRID K2,GPU,2013-05-11,3540
